,ARTstract_ID,danger,death,adventure,power,safety,excitement,fitness,protection,freedom,comfort,desire,hunger
artpedia_3629,1,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_4963,2,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_5173,3,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_7749,4,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_10588,6,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_11612,8,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_12522,9,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_14977,12,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_16499,13,True,False,False,False,False,False,False,False,False,False,False,False
artpedia_16956,15,True,False,False,False,False,False,False,False,False,False,False,False
advise_0/127700.jpg,244,True,False,False,False,False,False,False,False,False,False,False,False
advise_6/71966.jpg,247,True,False,False,False,False,False,False,False,False,False,False,False
advise_1/163501.jpg,251,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/172519.png,252,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/173960.png,253,True,False,False,False,False,False,False,False,False,False,False,False
advise_8/12758.jpg,254,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/172198.png,257,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/177347.png,260,True,False,False,False,False,False,False,False,False,False,False,False
advise_1/133401.jpg,262,True,False,False,False,False,False,False,False,False,False,False,False
advise_7/133397.jpg,263,True,False,False,False,False,False,False,False,False,False,False,False
advise_7/125437.jpg,264,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/172546.png,266,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/176440.png,269,True,False,False,False,False,False,False,False,False,False,False,False
advise_4/93054.jpg,270,True,False,False,False,False,False,False,False,False,False,False,False
advise_3/125653.jpg,272,True,False,False,False,False,False,False,False,False,False,False,False
advise_2/68812.jpg,273,True,False,False,False,False,False,False,False,False,False,False,False
advise_9/116529.jpg,275,True,False,False,False,False,False,False,False,False,False,False,False
advise_3/52513.jpg,276,True,False,False,False,False,False,False,False,False,False,False,False
advise_2/135112.jpg,277,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/171587.png,278,True,False,False,False,False,False,False,False,False,False,False,False
advise_4/100114.jpg,281,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/171017.png,282,True,False,False,False,False,False,False,False,False,False,False,False
advise_1/93061.jpg,287,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/172475.png,288,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/174379.png,289,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/172814.png,290,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/172222.png,291,True,False,False,False,False,False,False,False,False,False,False,False
advise_0/109380.jpg,292,True,False,False,False,False,False,False,False,False,False,False,False
advise_9/127299.jpg,294,True,False,False,False,False,False,False,False,False,False,False,False
advise_5/78585.jpg,295,True,False,False,False,False,False,False,False,False,False,False,False
advise_3/46013.jpg,297,True,False,False,False,False,False,False,False,False,False,False,False
advise_3/65983.jpg,299,True,False,False,False,False,False,False,False,False,False,False,False
advise_0/102660.jpg,300,True,False,False,False,False,False,False,False,False,False,False,False
advise_10/176277.png,302,True,False,False,False,False,False,False,False,False,False,False,False
advise_5/21385.jpg,306,True,False,False,False,False,False,False,False,False,False,False,False
advise_3/111703.jpg,308,True,False,False,False,False,False,False,False,False,False,False,False
advise_8/119158.jpg,309,True,False,False,False,False,False,False,False,False,False,False,False
advise_7/120437.jpg,310,True,False,False,False,False,False,False,False,False,False,False,False
